term,tf,idf,tf_idf
layak,1,7.891918254674541,7.891918254674541
hadir,1,8.739216115061744,8.739216115061744
benerin,1,5.561162284713799,5.561162284713799
keluh,1,6.076628288036291,6.076628288036291
susah,1,2.5326401883368166,2.5326401883368166
lupa,1,3.864018791860593,3.864018791860593
sungguh,1,6.7933059660064306,6.7933059660064306
bantu,1,1.8754127236087899,1.8754127236087899
proses,1,4.2138108975425155,4.2138108975425155
benah,1,5.966627392821963,5.966627392821963
antri,2,3.258577191719753,6.517154383439506
tunggu,1,4.399749094806658,4.399749094806658
wifi,1,5.174389309617787,5.174389309617787
stabil,1,6.541991537725525,6.541991537725525
susah,1,2.5326401883368166,2.5326401883368166
cuman,1,5.925805398301708,5.925805398301708
berangkat,1,8.739216115061744,8.739216115061744
pagi,1,5.906002771005528,5.906002771005528
pulang,1,6.893389424563414,6.893389424563414
malam,1,6.174266757600208,6.174266757600208
mudah,1,1.9811216106340133,1.9811216106340133
eror,1,3.273972877197726,3.273972877197726
mudah,1,1.9811216106340133,1.9811216106340133
info,1,5.648173661703428,5.648173661703428
akses,1,4.161074601461572,4.161074601461572
menu,2,5.5751485266885386,11.150297053377077
muluapa,1,9.837828403729853,9.837828403729853
antri,1,3.258577191719753,3.258577191719753
tunggu,1,4.399749094806658,4.399749094806658
kagak,5,5.455801769055972,27.27900884527986
tanggal,1,5.407011604886541,5.407011604886541
periksa,1,4.985798139810236,4.985798139810236
internetnya,1,8.739216115061744,8.739216115061744
wifi,1,5.174389309617787,5.174389309617787
kuota,1,5.533763310525684,5.533763310525684
bagus,1,2.038895093688637,2.038895093688637
jelek,1,4.453333340940765,4.453333340940765
mending,1,5.520340290193543,5.520340290193543
hapus,1,5.203099415500218,5.203099415500218
hilang,1,5.283951512129313,5.283951512129313
internet,1,5.242708553595264,5.242708553595264
play,1,8.739216115061744,8.739216115061744
store,1,8.739216115061744,8.739216115061744
rawat,1,6.746785950371538,6.746785950371538
jalan,1,5.395177147239537,5.395177147239537
kecewa,1,5.101629955335358,5.101629955335358
referral,1,7.640603826393634,7.640603826393634
sampah,1,4.840616129965738,4.840616129965738
sulit,1,3.1746957077390507,3.1746957077390507
bagus,1,2.038895093688637,2.038895093688637
parah,1,4.7502320684974695,4.7502320684974695
tau,1,5.0095146664275525,5.0095146664275525
salah,1,3.5897855292214245,3.5897855292214245
rsnya,1,8.739216115061744,8.739216115061744
begadang,1,8.046068934501799,8.046068934501799
war,1,8.451534042609962,8.451534042609962
kontrol,2,4.737961975905655,9.47592395181131
gigi,1,6.174266757600208,6.174266757600208
gilir,1,4.509952234940273,4.509952234940273
suka,1,4.5803330317020725,4.5803330317020725
eror,1,3.273972877197726,3.273972877197726
telat,1,6.436631022067698,6.436631022067698
psa,1,9.837828403729853,9.837828403729853
ngulang,1,6.579731865708371,6.579731865708371
ktp,1,5.37192028507527,5.37192028507527
sesuai,2,4.622892646120868,9.245785292241736
cetak,1,7.352921753941853,7.352921753941853
terang,1,5.119329532434759,5.119329532434759
tanggal,1,5.407011604886541,5.407011604886541
lahir,1,6.579731865708371,6.579731865708371
dukcapil,1,7.439933130931483,7.439933130931483
ok,1,3.1457446612232256,3.1457446612232256
bantu,1,1.8754127236087899,1.8754127236087899
bagus,1,2.038895093688637,2.038895093688637
bagus,1,2.038895093688637,2.038895093688637
simple,1,5.812476712994704,5.812476712994704
mutu,1,6.7933059660064306,6.7933059660064306
mantap,1,2.6426410835511454,2.6426410835511454
puas,1,4.633821716653058,4.633821716653058
layan,1,2.838405936221893,2.838405936221893
digital,1,6.372092500930127,6.372092500930127
suka,1,4.5803330317020725,4.5803330317020725
kontrol,1,4.737961975905655,4.737961975905655
rsi,1,9.144681223169908,9.144681223169908
malang,1,8.739216115061744,8.739216115061744
bantu,1,1.8754127236087899,1.8754127236087899
bantu,1,1.8754127236087899,1.8754127236087899
bagus,1,2.038895093688637,2.038895093688637
terimakasih,1,3.5370426090666096,3.5370426090666096
developer,1,6.200242244003468,6.200242244003468
bantu,1,1.8754127236087899,1.8754127236087899
ubah,1,3.9243253980915838,3.9243253980915838
repotrepot,1,9.144681223169908,9.144681223169908
antri,1,3.258577191719753,3.258577191719753
berjamjam,1,8.739216115061744,8.739216115061744
sayang,1,6.174266757600208,6.174266757600208
pol,1,5.589333161680495,5.589333161680495
gigi,1,6.174266757600208,6.174266757600208
scaling,1,9.144681223169908,9.144681223169908
dicover,1,9.144681223169908,9.144681223169908
sulit,1,3.1746957077390507,3.1746957077390507
respontolong,1,9.837828403729853,9.837828403729853
biar,1,4.82054856691493,4.82054856691493
mudah,1,1.9811216106340133,1.9811216106340133
kunjung,1,6.372092500930127,6.372092500930127
rujuk,1,4.633821716653058,4.633821716653058
mantap,1,2.6426410835511454,2.6426410835511454
bagus,1,2.038895093688637,2.038895093688637
desember,1,8.046068934501799,8.046068934501799
device,2,6.659774573381908,13.319549146763816
nama,2,5.3160398266808135,10.632079653361627
bantu,1,1.8754127236087899,1.8754127236087899
suka,1,4.5803330317020725,4.5803330317020725
call,1,5.886584685148426,5.886584685148426
center,1,6.031165913959534,6.031165913959534
ygbdapat,1,9.837828403729853,9.837828403729853
dihub,1,9.144681223169908,9.144681223169908
gratis,1,6.124256337025546,6.124256337025546
susah,1,2.5326401883368166,2.5326401883368166
kelas,1,5.830495218497383,5.830495218497383
lho,1,7.004615059673638,7.004615059673638
bagus,1,2.038895093688637,2.038895093688637
bantu,1,1.8754127236087899,1.8754127236087899
terusg,1,9.837828403729853,9.837828403729853
trsg,1,9.837828403729853,9.837828403729853
niat,1,5.203099415500218,5.203099415500218
mudah,1,1.9811216106340133,1.9811216106340133
terimakasih,1,3.5370426090666096,3.5370426090666096
lancar,1,4.564828845166107,4.564828845166107
aplikasinyamau,1,9.144681223169908,9.144681223169908
lupa,1,3.864018791860593,3.864018791860593
pengisianya,1,9.837828403729853,9.837828403729853
atur,1,5.812476712994704,5.812476712994704
mudah,1,1.9811216106340133,1.9811216106340133
biar,1,4.82054856691493,4.82054856691493
amanada,1,9.837828403729853,9.837828403729853
huruf,1,7.758386862050018,7.758386862050018
besarhuruf,1,9.837828403729853,9.837828403729853
saran,1,6.031165913959534,6.031165913959534
diupdate,1,6.009187007240759,6.009187007240759
dokterfaskes,1,9.837828403729853,9.837828403729853
bpjskarena,1,9.837828403729853,9.837828403729853
tera,1,6.7933059660064306,6.7933059660064306
pindah,1,4.617472578651529,4.617472578651529
